"Timestamp","BTOffset","Init_Angles","GraspSteps","CumulativeReward","checkpointVisitedTimes","Vaild_CP","First_CP_Step"
"2024-10-03 09:08:50","-0.001580012,-0.001593393,0.1417211","16.22356,24.6117,25.63786,22.2275,30.81031,26.11016","7","0.2268999","47,47,47,47,47,47,42,18,1,0,0,0,0","7","4"
"2024-10-03 09:09:03","0.002059988,-0.0152318,0.1364033","15.52165,47.81245,-13.22707,30.9871,55.57074,-50.82809","12","0.14465","47,47,47,46,45,43,20,6,1,1,0,0,0","6","4"
"2024-10-03 09:09:19","-0.01215572,0.02936319,0.1434258","10.9137,13.91667,37.5157,23.68515,42.51052,27.22561","27","0.3094","47,47,47,47,47,47,47,39,10,1,0,0,0","8","4"
"2024-10-03 09:09:32","-0.01534614,0.03439507,0.14191","-17.89634,18.47161,29.78653,18.95439,58.73006,11.08461","10","0.3630999","48,48,48,48,48,48,48,47,26,6,0,0,0","9","3"
"2024-10-03 09:09:45","0.01349323,0.03240277,0.1275819","13.14943,24.40249,22.61988,26.38363,59.00509,8.402139","10","0.2874","42,42,42,42,42,42,42,38,8,0,0,0,0","8","9"
"2024-10-03 09:09:57","0.008527792,0.03702624,0.1404713","2.962014,13.47424,37.33854,17.96997,44.14525,25.45598","8","0.3276999","45,45,45,45,44,44,43,42,27,5,1,1,0","9","3"
"2024-10-03 09:10:11","0.01176695,0.01908029,0.1422094","21.62694,24.47923,23.28974,26.76731,44.12835,10.16334","13","0.17355","47,47,47,47,47,46,28,3,0,0,0,0,0","7","4"
"2024-10-03 09:10:23","-0.001083869,-0.01749571,0.1442942","-6.828574,24.19766,24.11416,13.46547,40.43604,8.875398","8","0.09335005","48,48,48,47,46,24,4,0,0,0,0,0,0","5","2"
"2024-10-03 09:10:36","-0.004749724,0.04077404,0.119769","13.79284,13.34144,38.94616,32.39979,53.48771,18.7731","10","0.32485","47,47,47,47,47,47,47,44,6,0,0,0,0","8","4"
"2024-10-03 09:10:49","-0.005630979,0.03190193,0.1330801","-2.39103,19.22182,30.00292,30.77563,63.26136,8.06948","10","0.3364999","47,47,47,47,47,47,47,42,24,8,1,0,0","9","4"
"2024-10-03 09:11:04","-0.01106473,0.03473398,0.1425961","8.250121,18.19635,31.95717,32.67622,48.19804,16.98134","21","0.29365","43,43,43,43,43,43,43,40,16,3,1,1,1","8","4"
"2024-10-03 09:11:17","-0.001879675,-0.04665797,0.1210842","-1.469336,47.8469,-12.22252,37.85528,51.45994,-54.68646","11","0.006500001","7,7,7,7,3,1,0,0,0,0,0,0,0","4","8"
"2024-10-03 09:11:30","-0.0006381411,0.02300817,0.129946","-2.51127,20.09393,28.82777,23.68706,63.78245,7.052361","14","0.2071999","45,45,45,45,45,45,45,14,1,0,0,0,0","7","4"
"2024-10-03 09:11:43","0.0009175763,0.0170614,0.1409506","15.05052,14.80134,35.63239,16.38532,45.09439,22.70845","9","0.2281999","47,47,47,47,47,47,41,16,1,0,0,0,0","7","4"
"2024-10-03 09:11:57","-0.006977533,0.03713353,0.1426187","15.78919,21.92025,26.67086,29.43755,45.43929,13.145","18","0.3759499","44,44,44,44,44,44,44,43,23,3,1,0,0","9","4"
"2024-10-03 09:12:12","-0.005585568,0.04027457,0.1404361","20.9036,21.65037,26.98995,30.46916,48.58254,8.70214","17","0.3683999","39,39,39,39,39,39,38,37,36,14,2,0,0","9","4"
"2024-10-03 09:12:24","-0.009366198,0.02616409,0.1361391","-4.58533,21.79943,26.20176,21.4627,50.53813,9.857884","7","0.25925","47,47,47,47,47,45,44,28,5,1,0,0,0","8","3"
"2024-10-03 09:12:36","-0.005856828,0.01681991,0.1445441","-9.645648,23.52343,23.77107,17.91974,46.04451,13.61666","8","0.1853","48,48,48,48,48,47,39,22,6,1,0,0,0","7","3"
"2024-10-03 09:12:50","-0.001827387,-0.007286648,0.1434328","22.97998,30.4646,17.05022,27.58506,29.34882,-1.238888","15","0.12265","47,47,47,47,46,45,19,2,0,0,0,0,0","6","4"
"2024-10-03 09:13:03","-0.01673758,0.03583074,0.1233654","-8.722806,16.20341,35.37653,30.03761,66.09143,10.94878","11","0.3768999","42,42,42,42,42,42,41,40,28,8,3,1,0","9","7"
"2024-10-03 09:13:16","-0.01116334,-0.03665869,0.1433778","1.208928,30.63942,11.84699,0.1476844,58.90121,-79.99469","13","0.05940001","46,46,46,45,33,9,1,0,0,0,0,0,0","5","4"
"2024-10-03 09:13:30","-0.00225627,0.03521539,0.1379918","1.642494,18.61082,30.40393,22.36146,50.2248,16.55777","15","0.3720499","48,48,48,48,48,47,47,44,31,7,0,0,0","9","3"
"2024-10-03 09:13:43","-0.007694196,0.02342949,0.1387449","25.93957,24.766,23.87953,28.51209,36.45631,19.36816","11","0.2654999","47,47,47,47,47,45,41,31,12,0,0,0,0","8","4"
"2024-10-03 09:13:59","-0.01190703,0.04310697,0.1430835","10.39805,16.15512,34.32938,17.93956,39.74337,31.04456","24","0.63065","44,44,44,44,43,43,42,42,41,33,23,0,0","11","3"
"2024-10-03 09:14:11","0.002143615,0.003721584,0.1357873","5.439003,21.13643,26.70831,-7.930661,51.8548,-108.0789","9","0.1359","46,46,46,46,46,42,17,0,0,0,0,0,0","6","5"
"2024-10-03 09:14:24","0.009424623,-0.01358134,0.139432","23.1997,50.31687,-6.835449,31.72505,2.574309,-22.45765","10","0.2397999","45,45,45,45,45,44,42,25,0,0,0,0,0","8","6"
"2024-10-03 09:14:39","0.01017217,0.02647276,0.1285177","-3.35768,15.56689,35.78073,25.46481,70.10442,8.326123","18","0.2801","47,47,47,47,47,46,45,39,11,0,0,0,0","8","4"
"2024-10-03 09:14:52","-0.003007705,-0.006251502,0.1383369","3.301775,27.61251,19.73165,17.15761,37.22845,5.479397","15","0.18555","47,47,47,47,47,44,38,20,0,0,0,0,0","7","4"
"2024-10-03 09:15:05","0.008697905,0.03542894,0.1383183","13.45577,18.01206,32.72784,24.37443,36.72335,33.04699","7","0.2948","43,43,42,42,42,42,42,38,25,10,1,0,0","9","3"
"2024-10-03 09:15:17","-0.002133436,0.01321304,0.1444464","-9.746569,16.4803,33.61892,15.71594,44.28799,20.36473","9","0.2339499","48,48,48,48,48,45,40,25,10,0,0,0,0","8","3"
"2024-10-03 09:15:30","-0.01291775,0.03794523,0.1292636","7.757889,16.36041,34.11616,32.6733,51.44508,17.14762","8","0.4607497","41,41,41,40,40,40,40,40,38,25,3,1,0","10","3"
"2024-10-03 09:15:43","-0.000881182,0.03667521,0.1267872","11.23649,18.53383,31.15292,33.34748,49.83973,17.41806","12","0.2688499","33,33,33,32,32,32,30,27,23,12,2,0,0","9","3"
"2024-10-03 09:15:56","-0.00777737,0.04776734,0.1233576","12.29374,15.64244,35.2472,32.88912,53.40073,16.20959","10","0.5785499","46,46,46,46,46,46,46,46,46,30,1,0,0","10","5"
"2024-10-03 09:16:08","0.01149861,-0.05151881,0.1165446","3.606092,44.69228,-7.678322,37.9329,52.9697,-54.80144","10","0.01305","15,14,12,10,6,3,1,0,0,0,0,0,0","4","22"
"2024-10-03 09:16:21","-0.00555816,0.03947447,0.1133637","3.76736,17.69866,33.93789,29.14805,71.23309,9.366517","10","0.4657997","34,34,34,34,34,34,34,34,33,24,11,1,0","10","17"
